Building populated grid (0.1 deg, city-radius=1)...
  15711 unique cells x 2 categories = 31422 reference calls.

  0 (cell,category) pairs already cached; resuming.

[14350/15711 cells] made=28699 skip=0 err=1 ~4986/hr
[14400/15711 cells] made=28799 skip=0 err=1 ~4986/hr
[14450/15711 cells] made=28899 skip=0 err=1 ~4986/hr
[14500/15711 cells] made=28999 skip=0 err=1 ~4986/hr
[14550/15711 cells] made=29099 skip=0 err=1 ~4986/hr
[14600/15711 cells] made=29199 skip=0 err=1 ~4986/hr
[14650/15711 cells] made=29299 skip=0 err=1 ~4986/hr
[14700/15711 cells] made=29399 skip=0 err=1 ~4986/hr
[14750/15711 cells] made=29499 skip=0 err=1 ~4986/hr
[14800/15711 cells] made=29599 skip=0 err=1 ~4986/hr
[14850/15711 cells] made=29699 skip=0 err=1 ~4986/hr
[14900/15711 cells] made=29799 skip=0 err=1 ~4986/hr
[14950/15711 cells] made=29899 skip=0 err=1 ~4986/hr
[15000/15711 cells] made=29999 skip=0 err=1 ~4986/hr
[15050/15711 cells] made=30099 skip=0 err=1 ~4986/hr
[15100/15711 cells] made=30199 skip=0 err=1 ~4986/hr
[15150/15711 cells] made=30299 skip=0 err=1 ~4986/hr
[15200/15711 cells] made=30399 skip=0 err=1 ~4986/hr
[15250/15711 cells] made=30499 skip=0 err=1 ~4986/hr
[15300/15711 cells] made=30599 skip=0 err=1 ~4986/hr
[15350/15711 cells] made=30699 skip=0 err=1 ~4986/hr
[15400/15711 cells] made=30799 skip=0 err=1 ~4986/hr
[15450/15711 cells] made=30899 skip=0 err=1 ~4986/hr
[15500/15711 cells] made=30999 skip=0 err=1 ~4986/hr
[15550/15711 cells] made=31099 skip=0 err=1 ~4986/hr
[15600/15711 cells] made=31199 skip=0 err=1 ~4987/hr
[15650/15711 cells] made=31299 skip=0 err=1 ~4986/hr
[15700/15711 cells] made=31399 skip=0 err=1 ~4987/hr

=== Summary ===
  calls made: 31421  skipped: 0  errors: 1
  elapsed:    6.30 hours
  cache file: /home/logan/Documents/Solar-Panel-Placement/renewable-siting/backend/data/grid_solar_cache.parquet
